freq,variable,standard_name,long_name,units,cell_methods,
day,ta150m,air_temperature,Air Temperature at 150m,K,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H) time: mean (interval: 1D),
day,zg250,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,pr,precipitation_flux,Precipitation,kg m-2 s-1,time: mean (interval: 1 hour) time: mean (interval: 1D),
day,ua30,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,clwvi,atmosphere_mass_content_of_cloud_condensed_water,Condensed Water Path,kg m-2,time: point (interval: 1H) time: mean (interval: 1D),
day,ps,surface_air_pressure,Surface Air Pressure,Pa,time: point (interval: 1H) time: mean (interval: 1D),
day,ta850,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,wa300,upward_air_velocity,Upward Air Velocity,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ua150,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,CAPE,atmosphere_convective_available_potential_energy_wrt_surface,Convective Available Potential Energy,J kg-1,time: mean (interval: 1D),
day,mrsol,mass_content_of_water_in_soil_layer,Total Water Content of Soil Layer,kg m-2,time: point (interval: 6H) time: mean (interval: 1D),
day,ta150,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ua50,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,mrro,runoff_flux,Total Runoff,kg m-2 s-1,time: mean (interval: 1 hour) time: mean (interval: 1D),
day,tasmin,air_temperature,Daily Minimum Near-Surface Air Temperature,K,time: minimum (interval: 1 hour) time: minimum (interval: 1D),
day,hus250,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,rsdscs,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,Surface Downwelling Clear-Sky Shortwave Radiation,W m-2,time: mean (interval: 1D),
day,ua600,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,va925,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,prc,convective_precipitation_flux,Convective Precipitation,kg m-2 s-1,time: mean (interval: 1 hour) time: mean (interval: 1D),
day,zg20,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ta200m,air_temperature,Air Temperature at 200m,K,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H) time: mean (interval: 1D),
day,prhmax,precipitation_flux,Daily Maximum Hourly Precipitation Rate,kg m-2 s-1,time: mean (interval: 1 hour) time: maximum (interval: 1D),
day,va500,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,wa200,upward_air_velocity,Upward Air Velocity,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,wa400,upward_air_velocity,Upward Air Velocity,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ua300,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,va250m,northward_wind,Northward Wind at 250m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H) time: mean (interval: 1D),
day,hus700,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,zg50,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,hus500,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,wa250,upward_air_velocity,Upward Air Velocity,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,va10,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ua700,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,clivi,atmosphere_mass_content_of_cloud_ice,Ice Water Path,kg m-2,time: point (interval: 1H) time: mean (interval: 1D),
day,va150m,northward_wind,Northward Wind at 150m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H) time: mean (interval: 1D),
day,zg150,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,clt,cloud_area_fraction,Total Cloud Cover Percentage,%,time: mean (interval: 1 hour) time: mean (interval: 1D),
day,ua50m,eastward_wind,Eastward Wind at 50m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H) time: mean (interval: 1D),
day,clm,cloud_area_fraction_in_atmosphere_layer,Mid Level Cloud Fraction,%,time: mean (interval: 1 hour) time: mean (interval: 1D),
day,tsl,soil_temperature,Temperature of Soil,K,time: point (interval: 6H) time: mean (interval: 1D),
day,zg400,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,rlutcs,toa_outgoing_longwave_flux_assuming_clear_sky,TOA Outgoing Clear-Sky Longwave Radiation,W m-2,time: mean (interval: 1 hour) time: mean (interval: 1D),
day,va50,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,prsn,snowfall_flux,Snowfall Flux,kg m-2 s-1,time: mean (interval: 1 hour) time: mean (interval: 1D),
day,ta250m,air_temperature,Air Temperature at 250m,K,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H) time: mean (interval: 1D),
day,CIN,atmosphere_convective_inhibition_wrt_surface,Convective Inhibition,J kg-1,time: point (interval: 1H) time: mean (interval: 1D),
day,zg300,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,hus30,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ta50m,air_temperature,Air Temperature at 50m,K,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: linear) time: point (interval: 1H) time: mean (interval: 1D),
day,zg70,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ua100m,eastward_wind,Eastward Wind at 100m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H) time: mean (interval: 1D),
day,hus100,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ua1000,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,zg500,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,mrsos,mass_content_of_water_in_soil_layer\n,Moisture in Upper Portion of Soil Column,kg m-2,time: point (interval: 1H) depth: point time: mean (interval: 1D),
day,wa50,upward_air_velocity,Upward Air Velocity,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
mon,mrfsol,frozen_water_content_of_soil_layer,Frozen Water Content of Soil Layer,kg m-2,time: point (interval: 6H) time: mean (interval: 1M),
mon,ta925,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,uas,eastward_wind,Eastward Near-Surface Wind,m s-1,time: point (interval: 1H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,ta1000,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,ua400,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,zmla,atmosphere_boundary_layer_thickness,Height of Boundary Layer,m,time: point (interval: 1H) time: mean (interval: 1M),
mon,rsdt,toa_incoming_shortwave_flux,TOA Incident Shortwave Radiation,W m-2,time: mean (interval: 1 hour) time: mean (interval: 1H) time: mean (interval: 1M),
mon,zg850,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,hus850,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,va200,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,rsuscs,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky,Surface Upwelling Clear-Sky Shortwave Radiation,W m-2,time: mean (interval: 1M),
mon,ua200m,eastward_wind,Eastward Wind at 200m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H) time: mean (interval: 1M),
mon,ta10,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,hurs,relative_humidity,Near-Surface Relative Humidity,%,time: point (interval: 1H) time: mean (interval: 1M),
mon,vas,northward_wind,Northward Near-Surface Wind,m s-1,time: point (interval: 1H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,wa70,upward_air_velocity,Upward Air Velocity,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,evspsblpot,water_potential_evaporation_flux,Potential Evapotranspiration,kg m-2 s-1,time: mean (interval: 1 hour) time: mean (interval: 1M),
mon,ta600,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,sfcWindmax,wind_speed,Monthly Mean Daily Maximum Near-Surface Wind Speed,m s-1,time: maximum (interval: 1 hour) area: interpolation (method: bilinear) time: maximum (interval: 1D) time: mean (interval: 1M),
mon,va70,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,hus200,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,hus300,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,ua100,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,ua150m,eastward_wind,Eastward Wind at 150m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H) time: mean (interval: 1M),
mon,ua200,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,ua250m,eastward_wind,Eastward Wind at 250m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H) time: mean (interval: 1M),
mon,wsgsmax,wind_speed_of_gust ,Monthly Mean Daily Maximum Near-Surface Wind Speed of Gust,m s-1,time: maximum (interval: 1 hour) area: interpolation (method: bilinear) time: maximum (interval: 1H) time: maximum (interval: 1D) time: mean (interval: 1M),
mon,wa1000,upward_air_velocity,Upward Air Velocity,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,rsdsdir,surface_direct_downwelling_shortwave_flux_in_air,Surface Direct Downwelling Shortwave Radiation,W m-2,time: mean (interval: 1H) time: mean (interval: 1M),
mon,sic,sea_ice_area_fraction,Sea Ice Area Fraction,%,time: point (interval: 6H) time: mean (interval: 1M),
mon,huss,specific_humidity,Near-Surface Specific Humidity,1,time: point (interval: 1H) time: mean (interval: 1M),
mon,rluscs,surface_upwelling_longwave_flux_in_air_assuming_clear_sky,Surface Upwelling Clear-Sky Longwave Radiation,W m-2,time: mean (interval: 1M),
mon,ta20,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,zg1000,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,hfss,surface_upward_sensible_heat_flux,Surface Upward Sensible Heat Flux,W m-2,time: mean (interval: 1 hour) time: mean (interval: 1H) time: mean (interval: 1M),
mon,zg925,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,hus50,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,hus150,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,hus600,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,va700,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,sfcWind,wind_speed,Near-Surface Wind Speed,m s-1,time: point (interval: 1H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,hus1000,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,ta200,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,wa10,upward_air_velocity,Upward Air Velocity,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,mrfsos,frozen_water_content_of_soil_layer,Frozen Water Content in Upper Portion of Soil Column,kg m-2,time: point (interval: 6H) depth: point time: mean (interval: 1M),
mon,ua1500m,northward_wind,Eastward Wind at 1500m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H) time: mean (interval: 1M),
mon,va100,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,ua10,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,hfls,surface_upward_latent_heat_flux,Surface Upward Latent Heat Flux,W m-2,time: mean (interval: 1 hour) time: mean (interval: 1H) time: mean (interval: 1M),
mon,va20,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,hus400,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,zg100,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,ta1500m,air_temperature,Air Temperature at 1500m,K,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H) time: mean (interval: 1M),
mon,snd,surface_snow_thickness,Snow Depth,m,pseudo_level: sum time: mean (interval: 1M),
mon,ta250,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,ua250,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,va200m,northward_wind,Northward Wind at 200m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H) time: mean (interval: 1M),
mon,rsut,toa_outgoing_shortwave_flux,TOA Outgoing Shortwave Radiation,W m-2,time: mean (interval: 1 hour) time: mean (interval: 1H) time: mean (interval: 1M),
mon,snw,surface_snow_amount,Surface Snow Amount,kg m-2,time: point (interval: 6H) time: mean (interval: 1M),
mon,ua925,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,tasmean,air_temperature,Monthly Mean Near-Surface Air Temperature,K,time: point (interval: 1H) time: mean (interval: 1M),
mon,mrros,surface_runoff_flux,Surface Runoff,kg m-2 s-1,time: mean (interval: 1 hour) time: mean (interval: 1M),
mon,va300,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,clh,cloud_area_fraction_in_atmosphere_layer,High Level Cloud Fraction,%,time: mean (interval: 1 hour) time: mean (interval: 1M),
mon,tauv,surface_downward_northward_stress,Surface Downward Northward Wind Stress,Pa,time: mean (interval: 1 hour) time: mean (interval: 1M),
mon,z0,surface_roughness_length,Surface Roughness Length,m,time: mean (interval: 1 hour) time: mean (interval: 1M),
mon,cll,cloud_area_fraction_in_atmosphere_layer,Low Level Cloud Fraction,%,time: mean (interval: 1 hour) time: mean (interval: 1M),
mon,tasmax,air_temperature,Monthly Mean Daily Maximum Near-Surface Air Temperature,K,time: maximum (interval: 1 hour) time: maximum (interval: 1D) time: mean (interval: 1M),
mon,wa100,upward_air_velocity,Upward Air Velocity,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,wa600,upward_air_velocity,Upward Air Velocity,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,omega500,downward_air_velocity,Downward Air Velocity in pressure coordinates,Pa s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,ta50,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,ta500,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,va600,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
